((0.045, -0.1), 1200)
((0.045, -0.09), 1100)
((0.045, -0.08), 1200)
((0.045, -0.07), 1400)
((0.045, -0.06), 1600)
((0.045, -0.05), 1700)
((0.045, -0.04), 1900)
((0.045, -0.03), 2100)
((0.045, -0.02), 3100)
((0.045, -0.01), 4800)
((0.045, 0.0), 6600)
((0.045, 0.01), 8000)
((0.045, 0.02), 8500)
((0.045, 0.03), 8700)
((0.045, 0.04), 8800)
((0.045, 0.05), 8400)
((0.045, 0.06), 8000)
((0.045, 0.07), 7200)
((0.045, 0.08), 6200)
((0.045, 0.09), 5100)
((0.045, 0.1), 4500)
((0.045, 0.11), 3900)
((0.045, 0.12), 3000)
((0.045, 0.13), 2200)
((0.045, 0.14), 1600)
((0.055, -0.1), 1500)
((0.055, -0.09), 1500)
((0.055, -0.08), 1800)
((0.055, -0.07), 2600)
((0.055, -0.06), 3600)
((0.055, -0.05), 4600)
((0.055, -0.04), 5300)
((0.055, -0.03), 6300)
((0.055, -0.02), 7400)
((0.055, -0.01), 9100)
((0.055, 0.0), 11000)
((0.055, 0.01), 11900)
((0.055, 0.02), 13000)
((0.055, 0.03), 13200)
((0.055, 0.04), 13100)
((0.055, 0.05), 12400)
((0.055, 0.06), 11600)
((0.055, 0.07), 10200)
((0.055, 0.08), 8800)
((0.055, 0.09), 7500)
((0.055, 0.1), 6300)
((0.055, 0.11), 4900)
((0.055, 0.12), 3700)
((0.055, 0.13), 2800)
((0.055, 0.14), 2000)
((0.065, -0.1), 1700)
((0.065, -0.09), 1700)
((0.065, -0.08), 2400)
((0.065, -0.07), 3400)
((0.065, -0.06), 5000)
((0.065, -0.05), 5900)
((0.065, -0.04), 7200)
((0.065, -0.03), 8400)
((0.065, -0.02), 10500)
((0.065, -0.01), 12700)
((0.065, 0.0), 15000)
((0.065, 0.01), 17000)
((0.065, 0.02), 18100)
((0.065, 0.03), 18500)
((0.065, 0.04), 18500)
((0.065, 0.05), 17800)
((0.065, 0.06), 16900)
((0.065, 0.07), 14100)
((0.065, 0.08), 12400)
((0.065, 0.09), 10400)
((0.065, 0.1), 8300)
((0.065, 0.11), 6600)
((0.065, 0.12), 5500)
((0.065, 0.13), 3700)
((0.065, 0.14), 2700)
((0.075, -0.1), 2200)
((0.075, -0.09), 2100)
((0.075, -0.08), 3100)
((0.075, -0.07), 4400)
((0.075, -0.06), 6600)
((0.075, -0.05), 7700)
