((-0.045, -0.1), 300)
((-0.045, -0.09), 300)
((-0.045, -0.08), 300)
((-0.045, -0.07), 300)
((-0.045, -0.06), 400)
((-0.045, -0.05), 400)
((-0.045, -0.04), 400)
((-0.045, -0.03), 400)
((-0.045, -0.02), 400)
((-0.045, -0.01), 400)
((-0.045, 0.0), 400)
((-0.045, 0.01), 500)
((-0.045, 0.02), 500)
((-0.045, 0.03), 500)
((-0.045, 0.04), 600)
((-0.045, 0.05), 600)
((-0.045, 0.06), 600)
((-0.045, 0.07), 600)
((-0.045, 0.08), 600)
((-0.045, 0.09), 500)
((-0.035, -0.1), 500)
((-0.035, -0.09), 600)
((-0.035, -0.08), 600)
((-0.035, -0.07), 700)
((-0.035, -0.06), 700)
((-0.035, -0.05), 700)
((-0.035, -0.04), 700)
((-0.035, -0.03), 700)
((-0.035, -0.02), 600)
((-0.035, -0.01), 600)
((-0.035, 0.0), 600)
((-0.035, 0.01), 700)
((-0.035, 0.02), 700)
((-0.035, 0.03), 700)
((-0.035, 0.04), 700)
((-0.035, 0.05), 700)
((-0.035, 0.06), 700)
((-0.035, 0.07), 800)
((-0.035, 0.08), 800)
((-0.035, 0.09), 800)
((-0.025, -0.1), 800)
((-0.025, -0.09), 800)
((-0.025, -0.08), 800)
((-0.025, -0.07), 800)
((-0.025, -0.06), 800)
((-0.025, -0.05), 800)
((-0.025, -0.04), 800)
((-0.025, -0.03), 700)
((-0.025, -0.02), 700)
((-0.025, -0.01), 700)
((-0.025, 0.0), 800)
((-0.025, 0.01), 800)
((-0.025, 0.02), 800)
((-0.025, 0.03), 800)
((-0.025, 0.04), 900)
((-0.025, 0.05), 900)
((-0.025, 0.06), 900)
((-0.025, 0.07), 900)
((-0.025, 0.08), 900)
((-0.025, 0.09), 1000)
((-0.015, -0.1), 1000)
((-0.015, -0.09), 1000)
((-0.015, -0.08), 1100)
((-0.015, -0.07), 1100)
((-0.015, -0.06), 1100)
((-0.015, -0.05), 1000)
((-0.015, -0.04), 1000)
((-0.015, -0.03), 900)
((-0.015, -0.02), 900)
((-0.015, -0.01), 900)
((-0.015, 0.0), 900)
((-0.015, 0.01), 1000)
((-0.015, 0.02), 1000)
((-0.015, 0.03), 1100)
((-0.015, 0.04), 1100)
((-0.015, 0.05), 1100)
((-0.015, 0.06), 1100)
((-0.015, 0.07), 1200)
((-0.015, 0.08), 1200)
((-0.015, 0.09), 1200)
((-0.005, -0.1), 1300)
((-0.005, -0.09), 1400)
((-0.005, -0.08), 1400)
((-0.005, -0.07), 1400)
((-0.005, -0.06), 1400)
((-0.005, -0.05), 1300)
((-0.005, -0.04), 1300)
((-0.005, -0.03), 1200)
((-0.005, -0.02), 1200)
((-0.005, -0.01), 1200)
((-0.005, 0.0), 1200)
((-0.005, 0.01), 1300)
((-0.005, 0.02), 1300)
((-0.005, 0.03), 1400)
((-0.005, 0.04), 1500)
((-0.005, 0.05), 1500)
((-0.005, 0.06), 1500)
((-0.005, 0.07), 1600)
((-0.005, 0.08), 1600)
((-0.005, 0.09), 1600)
((0.005, -0.1), 1700)
((0.005, -0.09), 1900)
((0.005, -0.08), 1900)
((0.005, -0.07), 1900)
((0.005, -0.06), 1900)
((0.005, -0.05), 1800)
((0.005, -0.04), 1700)
((0.005, -0.03), 1700)
((0.005, -0.02), 1700)
((0.005, -0.01), 1600)
((0.005, 0.0), 1600)
((0.005, 0.01), 1700)
((0.005, 0.02), 1800)
((0.005, 0.03), 1900)
((0.005, 0.04), 2000)
((0.005, 0.05), 2000)
((0.005, 0.06), 2100)
((0.005, 0.07), 2200)
((0.005, 0.08), 2200)
((0.005, 0.09), 2300)
((0.015, -0.1), 2200)
((0.015, -0.09), 2400)
((0.015, -0.08), 2500)
((0.015, -0.07), 2500)
((0.015, -0.06), 2500)
((0.015, -0.05), 2400)
((0.015, -0.04), 2200)
((0.015, -0.03), 2100)
((0.015, -0.02), 2100)
((0.015, -0.01), 2100)
((0.015, 0.0), 2200)
((0.015, 0.01), 2300)
((0.015, 0.02), 2400)
((0.015, 0.03), 2500)
((0.015, 0.04), 2600)
((0.015, 0.05), 2700)
((0.015, 0.06), 2900)
((0.015, 0.07), 3000)
((0.015, 0.08), 3100)
((0.015, 0.09), 3100)
((0.025, -0.1), 3200)
((0.025, -0.09), 3600)
((0.025, -0.08), 3800)
((0.025, -0.07), 4000)
((0.025, -0.06), 4200)
((0.025, -0.05), 3900)
((0.025, -0.04), 3500)
((0.025, -0.03), 3400)
((0.025, -0.02), 3500)
((0.025, -0.01), 3400)
((0.025, 0.0), 3400)
((0.025, 0.01), 3600)
((0.025, 0.02), 3900)
((0.025, 0.03), 4100)
((0.025, 0.04), 4200)
