((-0.3, -0.1), 9700)
((-0.3, -0.09), 9300)
((-0.3, -0.08), 9100)
((-0.3, -0.07), 11500)
((-0.3, -0.06), 12700)
((-0.3, -0.05), 12900)
((-0.3, -0.04), 12900)
((-0.3, -0.03), 12300)
((-0.3, -0.02), 11300)
((-0.3, -0.01), 10500)
((-0.3, 0.0), 10000)
((-0.3, 0.01), 9400)
((-0.3, 0.02), 9000)
((-0.3, 0.03), 6200)
((-0.3, 0.04), 5100)
((-0.3, 0.05), 4200)
((-0.3, 0.06), 3200)
((-0.3, 0.07), 2700)
((-0.3, 0.08), 2000)
((-0.3, 0.09), 1500)
((-0.29, -0.1), 16400)
((-0.29, -0.09), 17700)
((-0.29, -0.08), 19100)
((-0.29, -0.07), 20700)
((-0.29, -0.06), 20900)
((-0.29, -0.05), 20600)
((-0.29, -0.04), 19800)
((-0.29, -0.03), 18800)
((-0.29, -0.02), 16500)
((-0.29, -0.01), 15100)
((-0.29, 0.0), 15300)
((-0.29, 0.01), 13800)
((-0.29, 0.02), 13100)
((-0.29, 0.03), 8900)
((-0.29, 0.04), 6700)
((-0.29, 0.05), 5300)
((-0.29, 0.06), 4100)
((-0.29, 0.07), 3000)
((-0.29, 0.08), 2400)
((-0.29, 0.09), 1900)
((-0.28, -0.1), 21300)
((-0.28, -0.09), 23200)
((-0.28, -0.08), 25000)
((-0.28, -0.07), 26000)
((-0.28, -0.06), 26700)
((-0.28, -0.05), 26400)
((-0.28, -0.04), 24600)
((-0.28, -0.03), 22900)
((-0.28, -0.02), 20600)
((-0.28, -0.01), 19500)
((-0.28, 0.0), 18700)
((-0.28, 0.01), 17800)
((-0.28, 0.02), 17000)
((-0.28, 0.03), 11800)
((-0.28, 0.04), 8200)
((-0.28, 0.05), 6200)
((-0.28, 0.06), 5100)
((-0.28, 0.07), 4100)
((-0.28, 0.08), 3000)
((-0.28, 0.09), 2300)
((-0.27, -0.1), 27100)
((-0.27, -0.09), 28600)
((-0.27, -0.08), 30200)
((-0.27, -0.07), 31900)
((-0.27, -0.06), 32200)
((-0.27, -0.05), 32200)
((-0.27, -0.04), 30600)
((-0.27, -0.03), 28100)
((-0.27, -0.02), 26500)
((-0.27, -0.01), 25300)
((-0.27, 0.0), 22600)
((-0.27, 0.01), 21600)
((-0.27, 0.02), 20800)
((-0.27, 0.03), 14000)
((-0.27, 0.04), 9800)
((-0.27, 0.05), 7200)
((-0.27, 0.06), 6000)
((-0.27, 0.07), 4400)
((-0.27, 0.08), 3300)
((-0.27, 0.09), 2500)
((-0.26, -0.1), 32700)
((-0.26, -0.09), 32500)
((-0.26, -0.08), 31900)
((-0.26, -0.07), 31500)
((-0.26, -0.06), 31200)
((-0.26, -0.05), 31200)
((-0.26, -0.04), 31300)
((-0.26, -0.03), 32100)
((-0.26, -0.02), 32600)
((-0.26, -0.01), 30000)
((-0.26, 0.0), 28900)
((-0.26, 0.01), 26900)
((-0.26, 0.02), 25600)
((-0.26, 0.03), 20900)
((-0.26, 0.04), 14100)
((-0.26, 0.05), 9400)
((-0.26, 0.06), 7000)
((-0.26, 0.07), 5400)
((-0.26, 0.08), 4300)
((-0.26, 0.09), 3200)
((-0.25, -0.1), 32000)
((-0.25, -0.09), 31400)
((-0.25, -0.08), 30800)
((-0.25, -0.07), 30000)
((-0.25, -0.06), 29200)
((-0.25, -0.05), 29500)
((-0.25, -0.04), 30300)
((-0.25, -0.03), 31300)
((-0.25, -0.02), 31900)
((-0.25, -0.01), 32400)
((-0.25, 0.0), 31200)
((-0.25, 0.01), 30400)
((-0.25, 0.02), 29500)
((-0.25, 0.03), 21600)
((-0.25, 0.04), 14600)
((-0.25, 0.05), 10700)
((-0.25, 0.06), 7900)
((-0.25, 0.07), 6100)
((-0.25, 0.08), 4500)
((-0.25, 0.09), 3700)
((-0.24, -0.1), 30200)
((-0.24, -0.09), 29200)
((-0.24, -0.08), 27200)
((-0.24, -0.07), 26300)
((-0.24, -0.06), 25600)
((-0.24, -0.05), 25800)
((-0.24, -0.04), 26900)
((-0.24, -0.03), 28100)
((-0.24, -0.02), 30000)
((-0.24, -0.01), 31300)
((-0.24, 0.0), 31900)
((-0.24, 0.01), 32400)
((-0.24, 0.02), 32600)
((-0.24, 0.03), 29100)
((-0.24, 0.04), 18200)
((-0.24, 0.05), 12400)
((-0.24, 0.06), 8600)
((-0.24, 0.07), 6800)
((-0.24, 0.08), 5300)
((-0.24, 0.09), 3600)
((-0.23, -0.1), 27700)
((-0.23, -0.09), 26600)
((-0.23, -0.08), 24900)
((-0.23, -0.07), 23500)
((-0.23, -0.06), 23000)
((-0.23, -0.05), 23000)
((-0.23, -0.04), 23700)
((-0.23, -0.03), 25100)
((-0.23, -0.02), 27500)
((-0.23, -0.01), 29400)
((-0.23, 0.0), 30600)
((-0.23, 0.01), 31300)
((-0.23, 0.02), 31900)
((-0.23, 0.03), 32100)
((-0.23, 0.04), 23300)
((-0.23, 0.05), 14700)
((-0.23, 0.06), 10000)
((-0.23, 0.07), 7700)
((-0.23, 0.08), 6000)
((-0.23, 0.09), 4200)
((-0.22, -0.1), 25800)
((-0.22, -0.09), 24600)
((-0.22, -0.08), 22600)
((-0.22, -0.07), 21200)
((-0.22, -0.06), 20800)
((-0.22, -0.05), 20700)
((-0.22, -0.04), 21200)
((-0.22, -0.03), 22600)
((-0.22, -0.02), 24100)
((-0.22, -0.01), 27500)
((-0.22, 0.0), 28800)
((-0.22, 0.01), 29900)
((-0.22, 0.02), 30800)
((-0.22, 0.03), 32000)
((-0.22, 0.04), 23500)
((-0.22, 0.05), 15400)
((-0.22, 0.06), 10400)
((-0.22, 0.07), 7800)
((-0.22, 0.08), 6000)
((-0.22, 0.09), 4200)
((-0.21, -0.1), 23600)
((-0.21, -0.09), 23400)
((-0.21, -0.08), 20700)
((-0.21, -0.07), 19500)
((-0.21, -0.06), 18400)
((-0.21, -0.05), 18300)
((-0.21, -0.04), 19000)
((-0.21, -0.03), 20200)
((-0.21, -0.02), 22300)
((-0.21, -0.01), 24800)
((-0.21, 0.0), 25600)
((-0.21, 0.01), 27800)
((-0.21, 0.02), 28900)
((-0.21, 0.03), 31800)
((-0.21, 0.04), 25700)
((-0.21, 0.05), 17500)
((-0.21, 0.06), 12000)
((-0.21, 0.07), 8700)
((-0.21, 0.08), 6700)
((-0.21, 0.09), 4700)
((-0.2, -0.1), 22100)
((-0.2, -0.09), 21800)
((-0.2, -0.08), 19400)
((-0.2, -0.07), 17800)
((-0.2, -0.06), 17000)
((-0.2, -0.05), 16800)
((-0.2, -0.04), 17200)
((-0.2, -0.03), 18300)
((-0.2, -0.02), 20200)
((-0.2, -0.01), 23100)
((-0.2, 0.0), 25700)
((-0.2, 0.01), 26900)
((-0.2, 0.02), 28200)
((-0.2, 0.03), 31400)
((-0.2, 0.04), 26300)
((-0.2, 0.05), 18600)
((-0.2, 0.06), 12700)
((-0.2, 0.07), 9400)
((-0.2, 0.08), 6700)
((-0.2, 0.09), 5100)
((-0.19, -0.1), 21900)
((-0.19, -0.09), 20400)
((-0.19, -0.08), 18700)
((-0.19, -0.07), 17100)
((-0.19, -0.06), 16100)
((-0.19, -0.05), 15800)
((-0.19, -0.04), 16200)
((-0.19, -0.03), 17200)
((-0.19, -0.02), 19800)
((-0.19, -0.01), 22700)
((-0.19, 0.0), 25100)
